"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"cds-personne-prise-charge","cds-personne-prise-charge","","","",0,*,"","","","null {[]} {[]}
","Personne physique bénéficiaire de soins, d'examens, d'actes de prévention ou de services. Selon le contexte, la personne prise en charge peut être un patient ou un usager.","Personne physique bénéficiaire de soins, d'examens, d'actes de prévention ou de services. Selon le contexte, la personne prise en charge peut être un patient ou un usager.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"cds-personne-prise-charge.idPersonnePriseCharge","cds-personne-prise-charge.idPersonnePriseCharge","","","",0,*,"Y","","","Identifier {[]} {[]}
","Identifiant secondaire de la personne prise en charge.","Identifiant secondaire de la personne prise en charge.","","","","","","","","","",,,,,"",,,,"PersonnePriseCharge.idPersonnePriseCharge",0,*,"",""
"cds-personne-prise-charge.personne","cds-personne-prise-charge.personne","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/PersonnePhysique {[]} {[]}
","Identité civile de la personne prise en charge.","Identité civile de la personne prise en charge.","","","","","","","","","",,,,,"",,,,"PersonnePriseCharge.personne",0,1,"",""
"cds-personne-prise-charge.preferenceCommunication","cds-personne-prise-charge.preferenceCommunication","","","",0,1,"","","","Coding {[]} {[]}
","Moyen de communication privilégié de la personne prise en charge.","Moyen de communication privilégié de la personne prise en charge.","","","","","","","","","",,,,,"",,,,"PersonnePriseCharge.preferenceCommunication",0,1,"",""
"cds-personne-prise-charge.contact","cds-personne-prise-charge.contact","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/Contact {[]} {[]}
","Coordonnées des personnes à contacter en cas de besoin.","Coordonnées des personnes à contacter en cas de besoin.","","","","","","","","","",,,,,"",,,,"PersonnePriseCharge.contact",0,*,"",""
"cds-personne-prise-charge.adresseCorrespondance","cds-personne-prise-charge.adresseCorrespondance","","","",0,*,"Y","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/Adresse {[]} {[]}
","Adresse(s) de correspondance de la personne prise en charge.","Adresse(s) de correspondance de la personne prise en charge.","","","","","","","","","",,,,,"",,,,"PersonnePriseCharge.adresseCorrespondance",0,*,"",""
"cds-personne-prise-charge.telecommunication","cds-personne-prise-charge.telecommunication","","","",0,*,"Y","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/Telecommunication {[]} {[]}
","Adresse(s) de télécommunication de la personne prise en charge (numéro de téléphone, adresse email, URL, etc.).","Adresse(s) de télécommunication de la personne prise en charge (numéro de téléphone, adresse email, URL, etc.).","","","","","","","","","",,,,,"",,,,"PersonnePriseCharge.telecommunication",0,*,"",""
"cds-personne-prise-charge.INS","cds-personne-prise-charge.INS","","","",0,*,"Y","","","Base {[]} {[]}
","L'INS a pour signification « Identité Nationale de Santé »Préambule : Les informations constituant l'INS sont délibérément disjointes des informations de la personne physique qui sont utilisées dans des contextes différents de celui de l'INS.Les informations de l'INS permettent de  : ** sécuriser le référencement des données de santé;** favoriser l'échange et le partage;** améliorer la qualité et la sécurité de la prise en charge.Seuls les acteurs de la santé et du médico-social concourant à la prise en charge de l’usager, au suivi médico-social de la personne, ou menant des actions de prévention sont tenus d’utiliser l’INS.  L'INS référence les données de santé et se compose des éléments suivants: ** un matricule INS : le numéro d’inscription au répertoire national d’identification des personnes physiques (NIR) ou le numéro identifiant d’attente (NIA) pour les personnes en instance d’attribution d’un NIR (Art. R. 1111-8-1.-I du CSP); ** des traits d'identité de l'état civil : nom de naissance, prénom (liste des prénoms de naissance), date de naissance, sexe et lieu de naissance; ** des traits complémentaires provenant du Référentiel National d'Identitovigilance (RNIV) : premier prénom de l'acte de naissance, prénom utilisé et nom utilisé. Toute personne née sur le sol français et/ou bénéficiaire de l'assurance maladie dispose de son INS, unique et propre à chaque usage.","L'INS a pour signification « Identité Nationale de Santé »Préambule : Les informations constituant l'INS sont délibérément disjointes des informations de la personne physique qui sont utilisées dans des contextes différents de celui de l'INS.Les informations de l'INS permettent de  : ** sécuriser le référencement des données de santé;** favoriser l'échange et le partage;** améliorer la qualité et la sécurité de la prise en charge.Seuls les acteurs de la santé et du médico-social concourant à la prise en charge de l’usager, au suivi médico-social de la personne, ou menant des actions de prévention sont tenus d’utiliser l’INS.  L'INS référence les données de santé et se compose des éléments suivants: ** un matricule INS : le numéro d’inscription au répertoire national d’identification des personnes physiques (NIR) ou le numéro identifiant d’attente (NIA) pour les personnes en instance d’attribution d’un NIR (Art. R. 1111-8-1.-I du CSP); ** des traits d'identité de l'état civil : nom de naissance, prénom (liste des prénoms de naissance), date de naissance, sexe et lieu de naissance; ** des traits complémentaires provenant du Référentiel National d'Identitovigilance (RNIV) : premier prénom de l'acte de naissance, prénom utilisé et nom utilisé. Toute personne née sur le sol français et/ou bénéficiaire de l'assurance maladie dispose de son INS, unique et propre à chaque usage.","","","","","","","","","",,,,,"",,,,"PersonnePriseCharge.INS",0,*,"",""
"cds-personne-prise-charge.INS.matricule","cds-personne-prise-charge.INS.matricule","","","",1,1,"","","","Identifier {[]} {[]}
","La loi consacre comme matricule INS, le NIR et à défaut le NIA.Communément appelé numéro de sécurité sociale, le numéro d’inscription au répertoire (NIR) est un identifiant unique attribué à toute personne inscrite au répertoire national d'identification des personnes physiques (RNIPP). La forme du NIR est spécifiée par le décret n° 82-103 du 22 janvier 1982 [D82-103]. Il est formé de 13 caractères (chiffres ou lettres) et de la clé de contrôle.Le numéro identifiant d’attente (NIA) doit être utilisé comme matricule INS pour toute personne qui ne dispose pas encore de NIR et pour laquelle une procédure d’affectation de NIR est en cours.Dans la très grande majorité des cas, le NIA est identique au NIR qui sera affecté à la personne. Dans le cas exceptionnel où la procédure de vérification des pièces justificatives fait apparaître la nécessité de correction de éléments d’identité ayant un impact sur le NIR, le NIR attribué est différent du NIA.Dans tous les cas, le lien entre le NIR et le NIA est conservé dans les bases de référence.(Référentiel Identifiant national de santé)L’OID d’affection de l’identifiant utilisé doit représenter la personne morale responsable de la collecte de l’identité véhiculée : ** 1.2.250.1.213.1.4.8 - autorité d'affectation INS-NIR** 1.2.250.1.213.1.4.9 - autorité d'affectation INS-NIAL'OID est véhiculé dans l'identifiant par l'attribut identifiantSystem.","La loi consacre comme matricule INS, le NIR et à défaut le NIA.Communément appelé numéro de sécurité sociale, le numéro d’inscription au répertoire (NIR) est un identifiant unique attribué à toute personne inscrite au répertoire national d'identification des personnes physiques (RNIPP). La forme du NIR est spécifiée par le décret n° 82-103 du 22 janvier 1982 [D82-103]. Il est formé de 13 caractères (chiffres ou lettres) et de la clé de contrôle.Le numéro identifiant d’attente (NIA) doit être utilisé comme matricule INS pour toute personne qui ne dispose pas encore de NIR et pour laquelle une procédure d’affectation de NIR est en cours.Dans la très grande majorité des cas, le NIA est identique au NIR qui sera affecté à la personne. Dans le cas exceptionnel où la procédure de vérification des pièces justificatives fait apparaître la nécessité de correction de éléments d’identité ayant un impact sur le NIR, le NIR attribué est différent du NIA.Dans tous les cas, le lien entre le NIR et le NIA est conservé dans les bases de référence.(Référentiel Identifiant national de santé)L’OID d’affection de l’identifiant utilisé doit représenter la personne morale responsable de la collecte de l’identité véhiculée : ** 1.2.250.1.213.1.4.8 - autorité d'affectation INS-NIR** 1.2.250.1.213.1.4.9 - autorité d'affectation INS-NIAL'OID est véhiculé dans l'identifiant par l'attribut identifiantSystem.","","","","","","","","","",,,,,"",,,,"PersonnePriseCharge.INS.matricule",1,1,"",""
"cds-personne-prise-charge.INS.nomNaissance","cds-personne-prise-charge.INS.nomNaissance","","","",1,1,"","","","string {[]} {[]}
","Le nom de  naissance est un élément d’identité mentionné à l’article R. 1111-8-6 du CSP.C'est  un trait ""strict"" d'identité de la personne dans l'INS ( Référentiel Identité Nationale de Santé)synonyme moins précis : nom de famille","Le nom de  naissance est un élément d’identité mentionné à l’article R. 1111-8-6 du CSP.C'est  un trait ""strict"" d'identité de la personne dans l'INS ( Référentiel Identité Nationale de Santé)synonyme moins précis : nom de famille","","","","","","","","","",,,,,"",,,,"PersonnePriseCharge.INS.nomNaissance",1,1,"",""
