"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"cds-situation-exercice","cds-situation-exercice","","","",0,*,"","","","null {[]} {[]}
","Caractéristiques de l’exercice d’un professionnel pendant une période déterminée et dans une structure déterminée (à l’exception des remplaçants). Synonymes : Activité (RPPS).","Caractéristiques de l’exercice d’un professionnel pendant une période déterminée et dans une structure déterminée (à l’exception des remplaçants). Synonymes : Activité (RPPS).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"cds-situation-exercice.role","cds-situation-exercice.role","","","",0,1,"Y","","","Coding {[]} {[]}
","Rôle du professionnel au sein de la structure d’exercice. Par exemple, ** Titulaire de cabinet;** Titulaire d’officine;** Médecin scolaire;** etc.Synonyme : fonction","Rôle du professionnel au sein de la structure d’exercice. Par exemple, ** Titulaire de cabinet;** Titulaire d’officine;** Médecin scolaire;** etc.Synonyme : fonction","","","","","","","","","",,"preferred","","https://interop.esante.gouv.fr/ig/mos/ValueSet/role-vs|0.1.0-ballot","",,,,"SituationExercice.role",0,1,"",""
"cds-situation-exercice.typeRole","cds-situation-exercice.typeRole","","","",0,1,"","","","Coding {[]} {[]}
","Indique le type de rôle du professionnel au sein de la structure d’exercice.Synonyme : typeFonction","Indique le type de rôle du professionnel au sein de la structure d’exercice.Synonyme : typeFonction","","","","","","","","","",,"preferred","","https://interop.esante.gouv.fr/ig/mos/ValueSet/typeRole-vs|0.1.0-ballot","",,,,"SituationExercice.typeRole",0,1,"",""
"cds-situation-exercice.modeExercice","cds-situation-exercice.modeExercice","","","",0,1,"Y","","","Coding {[]} {[]}
","Le mode d'exercice décrit selon quelle modalité une activité est exercée au regard de l'organisation de la rétribution du professionnel.Exemples : ** Libéral;** Salarié;** Bénévole.Les valeurs de ce code sont répertoriées dans la nomenclature CodeSystem-TRE-R23-ModeExercice.","Le mode d'exercice décrit selon quelle modalité une activité est exercée au regard de l'organisation de la rétribution du professionnel.Exemples : ** Libéral;** Salarié;** Bénévole.Les valeurs de ce code sont répertoriées dans la nomenclature CodeSystem-TRE-R23-ModeExercice.","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R23-ModeExercice/FHIR/TRE-R23-ModeExercice?vs","",,,,"SituationExercice.modeExercice",0,1,"",""
"cds-situation-exercice.numeroAM","cds-situation-exercice.numeroAM","","","",0,1,"","","","Identifier {[]} {[]}
","Identifiant d’activité, propre à l’Assurance Maladie. Cet identifiant est attribué lors de l’enregistrement de l’activité par l’Assurance Maladie. Un professionnel a autant de numéros AM que d’activités enregistrées à l’Assurance Maladie. Cet identifiant d’activité est utilisé pour la facturation à l’Assurance Maladie. Sa diffusion est restreinte aux entités choisies par l’Assurance Maladie.Format : 9 caractères numériques généralement identiques au n°ADELI ou pseudo ADELI du professionnel pour sa première activité.","Identifiant d’activité, propre à l’Assurance Maladie. Cet identifiant est attribué lors de l’enregistrement de l’activité par l’Assurance Maladie. Un professionnel a autant de numéros AM que d’activités enregistrées à l’Assurance Maladie. Cet identifiant d’activité est utilisé pour la facturation à l’Assurance Maladie. Sa diffusion est restreinte aux entités choisies par l’Assurance Maladie.Format : 9 caractères numériques généralement identiques au n°ADELI ou pseudo ADELI du professionnel pour sa première activité.","","","","","","","","","",,,,,"",,,,"SituationExercice.numeroAM",0,1,"",""
"cds-situation-exercice.dateDebutActivite","cds-situation-exercice.dateDebutActivite","","","",0,1,"","","","date {[]} {[]}
","Date de début de l’activité correspondant à la date d’installation en cabinet ou à la date d’embauche du salarié, etc.","Date de début de l’activité correspondant à la date d’installation en cabinet ou à la date d’embauche du salarié, etc.","","","","","","","","","",,,,,"",,,,"SituationExercice.dateDebutActivite",0,1,"",""
"cds-situation-exercice.dateFinActivite","cds-situation-exercice.dateFinActivite","","","",0,1,"","","","date {[]} {[]}
","Date de fin de l’activité.","Date de fin de l’activité.","","","","","","","","","",,,,,"",,,,"SituationExercice.dateFinActivite",0,1,"",""
"cds-situation-exercice.genreActivite","cds-situation-exercice.genreActivite","","","",0,1,"","","","Coding {[]} {[]}
","Le genre d'activité identifie les activités qui nécessitent l’application de règles de gestion spécifiques, par exemple, activité standard de soins ou de pharmacien, activité non soignante, activité non médicale, etc.","Le genre d'activité identifie les activités qui nécessitent l’application de règles de gestion spécifiques, par exemple, activité standard de soins ou de pharmacien, activité non soignante, activité non médicale, etc.","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R22-GenreActivite/FHIR/TRE-R22-GenreActivite?vs","",,,,"SituationExercice.genreActivite",0,1,"",""
"cds-situation-exercice.motifFinActivite","cds-situation-exercice.motifFinActivite","","","",0,1,"","","","Coding {[]} {[]}
","Motif de fin d'activité, par exemple:** Décès;** Retraite libérale;** Changement de profession;** etc.","Motif de fin d'activité, par exemple:** Décès;** Retraite libérale;** Changement de profession;** etc.","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R25-MotifFinActivite/FHIR/TRE-R25-MotifFinActivite?vs","",,,,"SituationExercice.motifFinActivite",0,1,"",""
"cds-situation-exercice.statutHospitalier","cds-situation-exercice.statutHospitalier","","","",0,1,"","","","Coding {[]} {[]}
","Statut hospitalier dans le cas d’une activité exercée en établissement public de santé, par exemple:** Professeur des universités - praticien hospitalier (PU-PH);** Assistant hospitalier universitaire (AHU);** etc.","Statut hospitalier dans le cas d’une activité exercée en établissement public de santé, par exemple:** Professeur des universités - praticien hospitalier (PU-PH);** Assistant hospitalier universitaire (AHU);** etc.","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R32-StatutHospitalier/FHIR/TRE-R32-StatutHospitalier?vs","",,,,"SituationExercice.statutHospitalier",0,1,"",""
"cds-situation-exercice.sectionOrdrePharmacien","cds-situation-exercice.sectionOrdrePharmacien","","","",0,1,"","","","Coding {[]} {[]}
","Section du tableau de l’Ordre des pharmaciens, par exemple:** Pharmacien titulaire d’officine;** Pharmacien biologiste;** etc.","Section du tableau de l’Ordre des pharmaciens, par exemple:** Pharmacien titulaire d’officine;** Pharmacien biologiste;** etc.","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R06-SectionTableauCNOP/FHIR/TRE-R06-SectionTableauCNOP?vs","",,,,"SituationExercice.sectionOrdrePharmacien",0,1,"",""
"cds-situation-exercice.sousSectionOrdrePharmacien","cds-situation-exercice.sousSectionOrdrePharmacien","","","",0,1,"","","","Coding {[]} {[]}
","Sous-section ou à défaut section du tableau de l’Ordre des pharmaciens.","Sous-section ou à défaut section du tableau de l’Ordre des pharmaciens.","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_G05-SousSectionTableauCNOP/FHIR/TRE-G05-SousSectionTableauCNOP?vs","",,,,"SituationExercice.sousSectionOrdrePharmacien",0,1,"",""
"cds-situation-exercice.typeActiviteLiberale","cds-situation-exercice.typeActiviteLiberale","","","",0,1,"","","","Coding {[]} {[]}
","Type d’activité libérale, par exemple:** Cabinet;** Secteur privé à l'hôpital;** etc.","Type d’activité libérale, par exemple:** Cabinet;** Secteur privé à l'hôpital;** etc.","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R24-TypeActiviteLiberale/FHIR/TRE-R24-TypeActiviteLiberale?vs","",,,,"SituationExercice.typeActiviteLiberale",0,1,"",""
"cds-situation-exercice.statutPSSSA","cds-situation-exercice.statutPSSSA","","","",0,1,"","","","Coding {[]} {[]}
","Statut du professionnel du Service de santé des armées, par exemple:** Praticien certifié;** Praticien confirmé;** etc.","Statut du professionnel du Service de santé des armées, par exemple:** Praticien certifié;** Praticien confirmé;** etc.","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R34-StatutProfessionnelSSA/FHIR/TRE-R34-StatutProfessionnelSSA?vs","",,,,"SituationExercice.statutPSSSA",0,1,"",""
"cds-situation-exercice.telecommunication","cds-situation-exercice.telecommunication","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/Telecommunication {[]} {[]}
","Adresse(s) de télécommunication (numéro de téléphone, adresse email, URL, etc.) rattachée(s) à la situation d'exercice.","Adresse(s) de télécommunication (numéro de téléphone, adresse email, URL, etc.) rattachée(s) à la situation d'exercice.","","","","","","","","","",,,,,"",,,,"SituationExercice.telecommunication",0,*,"",""
"cds-situation-exercice.adresseSE","cds-situation-exercice.adresseSE","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/Adresse {[]} {[]}
","Adresse(s) géopostale(s) rattachée(s) à la situation d'exercice.","Adresse(s) géopostale(s) rattachée(s) à la situation d'exercice.","","","","","","","","","",,,,,"",,,,"SituationExercice.adresseSE",0,*,"",""
"cds-situation-exercice.boiteLettresMSS","cds-situation-exercice.boiteLettresMSS","","","",0,*,"Y","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/BoiteLettreMSS {[]} {[]}
","Boîte(s) aux lettres du service de messagerie sécurisée de santé (MSS) rattachée(s) à la situation d'exercice.","Boîte(s) aux lettres du service de messagerie sécurisée de santé (MSS) rattachée(s) à la situation d'exercice.","","","","","","","","","",,,,,"",,,,"SituationExercice.boiteLettresMSS",0,*,"",""
"cds-situation-exercice.ExerciceProfessionnel","cds-situation-exercice.ExerciceProfessionnel","","","",1,1,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/ExerciceProfessionnel {[]} {[]}
","Lien vers la classe ExerciceProfessionnel","Lien vers la classe ExerciceProfessionnel","","","","","","","","","",,,,,"",,,,"SituationExercice.ExerciceProfessionnel",1,1,"",""
"cds-situation-exercice.EntiteGeographique","cds-situation-exercice.EntiteGeographique","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/EntiteGeographique {[]} {[]}
","Lien vers la classe EntiteGeographique","Lien vers la classe EntiteGeographique","","","","","","","","","",,,,,"",,,,"SituationExercice.EntiteGeographique",0,1,"",""
"cds-situation-exercice.CDSMembreCercleSoins","cds-situation-exercice.CDSMembreCercleSoins","","","",1,1,"","","","https://interop.esante.gouv.fr/ig/fhir/cds/StructureDefinition/cds-membre-cercle-soins {[]} {[]}
","Lien vers le concept Membre Cercle Soins","Lien vers le concept Membre Cercle Soins","","","","","","","","","",,,,,"",,,,"cds-situation-exercice.CDSMembreCercleSoins",1,1,"",""
"cds-situation-exercice.CDSExerciceProfessionnel","cds-situation-exercice.CDSExerciceProfessionnel","","","",1,1,"","","","https://interop.esante.gouv.fr/ig/fhir/cds/StructureDefinition/cds-exercice-professionnel {[]} {[]}
","Lien vers le concept Exercice Professionnel","Lien vers le concept Exercice Professionnel","","","","","","","","","",,,,,"",,,,"cds-situation-exercice.CDSExerciceProfessionnel",1,1,"",""
"cds-situation-exercice.CDSEntiteGeographique","cds-situation-exercice.CDSEntiteGeographique","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/fhir/cds/StructureDefinition/cds-entite-geographique {[]} {[]}
","Lien vers le concept Entité Géographique","Lien vers le concept Entité Géographique","","","","","","","","","",,,,,"",,,,"cds-situation-exercice.CDSEntiteGeographique",0,1,"",""
